{'01044099999': -10.0, '02293099999': -27.6}
         313561 function calls (307829 primitive calls) in 0.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45739    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     6427    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.003    0.003 ssl_match_hostname.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:1(<module>)
      179    0.000    0.000    0.003    0.000 enum.py:313(__call__)
      342    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
        1    0.000    0.000    0.002    0.002 six.py:21(<module>)
        1    0.000    0.000    0.002    0.002 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.002    0.002 models.py:3(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.002    0.002 filepost.py:1(<module>)
        1    0.000    0.000    0.002    0.002 api.py:3(<module>)
        5    0.000    0.000    0.002    0.000 six.py:95(__get__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
     8261    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.002    0.002 hashlib.py:5(<module>)
     1463    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
       14    0.000    0.000    0.002    0.000 hashlib.py:123(__get_openssl_constructor)
      366    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
        8    0.000    0.000    0.002    0.000 hashlib.py:79(__get_builtin_constructor)
     5825    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      507    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 sessions.py:3(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 brotli.py:2(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sjisprober.py:28(<module>)
      195    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      171    0.002    0.000    0.002    0.000 {built-in method io.open_code}
       72    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.002    0.002 message.py:5(<module>)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        1    0.000    0.000    0.002    0.002 cookies.py:39(<module>)
        1    0.000    0.000    0.002    0.002 adapters.py:3(<module>)
       16    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 copy.py:1(<module>)
      260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
  900/154    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
     2229    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.001    0.001 socks.py:2(<module>)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
       13    0.001    0.000    0.001    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
      195    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
11821/10810    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 csv.py:2(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:5(<module>)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 chardistribution.py:28(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
        2    0.000    0.000    0.001    0.001 queue.py:1(<module>)
     3556    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
      195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
    11464    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
      302    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
      171    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
      234    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
    76/72    0.000    0.000    0.001    0.000 typing.py:255(inner)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 load_cache.py:27(download_all_data)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        2    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
      354    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5593b228c580}
      188    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       72    0.000    0.000    0.001    0.000 typing.py:659(__init__)
     1891    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       16    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
     1820    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       82    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       31    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      987    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(path_stats)
2748/2680    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2397    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2185    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.001    0.001 __init__.py:417(PercentStyle)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      472    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       17    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      522    0.000    0.000    0.000    0.000 typing.py:762(__setattr__)
      537    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      363    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
      414    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
     1395    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      188    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 load_cache.py:55(get_min_temperatures)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:28(<module>)
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
        1    0.000    0.000    0.000    0.000 load_cache.py:56(<dictcomp>)
     1225    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1484(_IPv4Constants)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      169    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      313    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1417(__init__)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 request.py:945(AbstractBasicAuthHandler)
     4800    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1243(CookieJar)
       12    0.000    0.000    0.000    0.000 enum.py:932(__or__)
     3512    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 escprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:1(<module>)
    15/11    0.000    0.000    0.000    0.000 typing.py:347(__getitem__)
       72    0.000    0.000    0.000    0.000 enum.py:938(__and__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2151(_IPv6Constants)
        6    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:677(__getitem__)
     1527    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2075(__init__)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:2018(getLogger)
        1    0.000    0.000    0.000    0.000 universaldetector.py:51(UniversalDetector)
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
     1001    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
     1534    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      690    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      636    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1224(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
      522    0.000    0.000    0.000    0.000 typing.py:646(_is_dunder)
       17    0.000    0.000    0.000    0.000 typing.py:689(copy_with)
      177    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       17    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
      525    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      636    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 utf8prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1125(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
      127    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       12    0.000    0.000    0.000    0.000 typing.py:187(_subs_tvars)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:4(<module>)
  173/172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      533    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1054    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
      313    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 socks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      171    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       31    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
      427    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       57    0.000    0.000    0.000    0.000 typing.py:120(_type_check)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
       44    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1810(__init__)
     2080    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
