{'01044099999': -10.0, '02293099999': -27.6}
         387298 function calls (381502 primitive calls) in 10.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 tempfile.py:1(<module>)
       73    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
      173    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
    67530    0.010    0.000    0.010    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.009    0.005 __init__.py:2(<module>)
      173    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
  204/203    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
        1    0.000    0.000    0.009    0.009 api.py:1(<module>)
   822/73    0.003    0.000    0.008    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.008    0.008 certs.py:4(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:19(<module>)
        1    0.000    0.000    0.007    0.007 universaldetector.py:28(<module>)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
     1169    0.002    0.000    0.007    0.000 response.py:369(_init_decoder)
        1    0.000    0.000    0.007    0.007 core.py:3(<module>)
        1    0.000    0.000    0.007    0.007 resources.py:1(<module>)
        2    0.006    0.003    0.006    0.003 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.006    0.006 cd.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
     1171    0.002    0.000    0.005    0.000 contextlib.py:117(__exit__)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
        1    0.000    0.000    0.005    0.005 header.py:5(<module>)
        4    0.005    0.001    0.005    0.001 {built-in method io.open}
    24/23    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
    24/23    0.003    0.000    0.005    0.000 {built-in method _imp.create_dynamic}
     1463    0.002    0.000    0.004    0.000 codecs.py:319(decode)
     1169    0.004    0.000    0.004    0.000 {method 'tobytes' of 'memoryview' objects}
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
     1191    0.002    0.000    0.004    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
     2345    0.002    0.000    0.004    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.004    0.004 ntpath.py:2(<module>)
    33938    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     1172    0.001    0.000    0.004    0.000 contextlib.py:238(helper)
      416    0.002    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
     2261    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      204    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 md.py:1(<module>)
      173    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
        2    0.003    0.002    0.003    0.002 models.py:845(text)
       10    0.000    0.000    0.003    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.003    0.003 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
        2    0.000    0.000    0.003    0.002 sessions.py:417(prepare_request)
        1    0.000    0.000    0.003    0.003 linecache.py:1(<module>)
    45969    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
